"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Poroèeni";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
" ";"65-69 let";4275;2316;1959;4339;2375;1964;4397;2416;1981;4354;2393;1961;4577;2464;2113;4959;2682;2277;5245;2819;2426;5505;2936;2569
" ";"70-74 let";2808;1550;1258;2899;1617;1282;3099;1741;1358;3447;1903;1544;3605;2022;1583;3556;1970;1586;3680;2058;1622;3714;2074;1640
" ";"75-79 let";1877;1072;805;1954;1095;859;1905;1069;836;1939;1114;825;1959;1123;836;2070;1194;876;2129;1239;890;2316;1365;951
" ";"80-84 let";969;609;360;965;616;349;1042;638;404;1054;635;419;1075;659;416;1095;664;431;1127;683;444;1128;676;452
" ";"85-89 let";245;172;73;299;197;102;340;232;108;364;248;116;352;229;123;385;261;124;381;258;123;419;280;139
" ";"90-94 let";45;35;10;46;33;13;60;44;16;66;44;22;74;52;22;79;56;23;87;60;27;96;65;31
" ";"95-99 let";8;5;3;4;2;2;3;1;2;5;2;3;6;4;2;8;5;3;8;5;3;10;8;2
" ";"100 + let";1;0;1;2;0;2;4;1;3;3;1;2;3;1;2;2;2;0;2;2;0;2;2;0
"Podravska"
" ";"Starost - SKUPAJ";121050;61025;60025;120053;60636;59417;119014;60342;58672;117641;59815;57826;116793;59493;57300;115579;58910;56669;114441;58227;56214;114269;58305;55964
" ";"15-19 let";29;7;22;18;5;13;20;4;16;17;4;13;27;6;21;12;4;8;15;4;11;14;5;9
" ";"20-24 let";403;151;252;433;147;286;435;134;301;392;121;271;364;108;256;407;117;290;401;115;286;401;123;278
" ";"25-29 let";2386;917;1469;2307;903;1404;2262;918;1344;2227;906;1321;2214;897;1317;2107;877;1230;2099;826;1273;2190;856;1334
" ";"30-34 let";6140;2670;3470;5874;2575;3299;5741;2586;3155;5549;2527;3022;5364;2428;2936;5242;2357;2885;5041;2231;2810;5196;2390;2806
" ";"35-39 let";9465;4350;5115;9114;4233;4881;8730;4079;4651;8402;3977;4425;8281;3989;4292;8106;3907;4199;7861;3817;4044;8010;3944;4066
" ";"40-44 let";12510;5846;6664;11843;5519;6324;11203;5272;5931;10752;5079;5673;10360;4925;5435;10025;4846;5179;9829;4762;5067;9632;4709;4923
" ";"45-49 let";15001;7222;7779;14517;6995;7522;14019;6736;7283;13547;6521;7026;13040;6289;6751;12302;5902;6400;11648;5534;6114;11153;5369;5784
" ";"50-54 let";16013;8029;7984;15634;7777;7857;15448;7665;7783;15161;7486;7675;14778;7258;7520;14556;7140;7416;14072;6891;7181;13750;6712;7038
" ";"55-59 let";16540;8523;8017;16646;8554;8092;16308;8359;7949;15864;8121;7743;15558;7977;7581;15193;7696;7497;14838;7489;7349;14632;7321;7311
" ";"60-64 let";13563;7027;6536;14303;7442;6861;14775;7712;7063;14935;7853;7082;15232;7992;7240;15165;7914;7251;15250;7907;7343;15034;7756;7278
" ";"65-69 let";11396;6106;5290;11217;6013;5204;10972;5852;5120;10892;5761;5131;11103;5822;5281;11966;6313;5653;12570;6665;5905;13026;6913;6113
" ";"70-74 let";8358;4774;3584;8434;4751;3683;8963;4991;3972;9576;5309;4267;9822;5434;4388;9522;5243;4279;9377;5148;4229;9175;5002;4173
" ";"75-79 let";5661;3260;2401;5903;3437;2466;6061;3555;2506;6031;3570;2461;6111;3616;2495;6189;3664;2525;6362;3692;2670;6771;3907;2864
" ";"80-84 let";2680;1578;1102;2801;1664;1137;2952;1764;1188;3096;1825;1271;3234;1932;1302;3425;2062;1363;3613;2206;1407;3734;2305;1429
" ";"85-89 let";775;489;286;853;534;319;950;605;345;1007;635;372;1107;694;413;1140;719;421;1197;761;436;1242;790;452
" ";"90-94 let";108;62;46;137;75;62;158;100;58;177;109;68;181;113;68;203;136;67;237;160;77;279;183;96
" ";"95-99 let";18;11;7;15;9;6;14;8;6;14;9;5;16;12;4;18;12;6;29;17;12;29;19;10
" ";"100 + let";4;3;1;4;3;1;3;2;1;2;2;0;1;1;0;1;1;0;2;2;0;1;1;0
"Koroška"
" ";"Starost - SKUPAJ";27219;13714;13505;26973;13593;13380;26800;13521;13279;26536;13390;13146;26312;13276;13036;26109;13170;12939;25738;12981;12757;25734;12994;12740
" ";"15-19 let";2;1;1;4;1;3;3;1;2;5;1;4;5;0;5;3;0;3;3;0;3;3;0;3
" ";"20-24 let";96;27;69;90;24;66;91;20;71;106;26;80;84;13;71;89;21;68;74;22;52;95;30;65
" ";"25-29 let";494;181;313;484;173;311;535;194;341;524;194;330;485;182;303;493;179;314;443;151;292;457;164;293
" ";"30-34 let";1364;581;783;1275;553;722;1229;563;666;1190;536;654;1138;508;630;1136;505;631;1080;463;617;1100;459;641
" ";"35-39 let";2077;919;1158;2011;869;1142;1934;842;1092;1841;823;1018;1798;811;987;1723;805;918;1665;791;874;1673;822;851
" ";"40-44 let";2734;1225;1509;2561;1152;1409;2398;1080;1318;2300;1060;1240;2208;1036;1172;2182;990;1192;2166;978;1188;2144;991;1153
" ";"45-49 let";3431;1615;1816;3355;1605;1750;3253;1531;1722;3133;1448;1685;2964;1344;1620;2731;1239;1492;2514;1149;1365;2396;1097;1299
" ";"50-54 let";3849;1907;1942;3740;1820;1920;3591;1748;1843;3436;1665;1771;3373;1613;1760;3351;1596;1755;3264;1559;1705;3181;1499;1682
" ";"55-59 let";3936;2054;1882;4035;2094;1941;4036;2085;1951;3933;2006;1927;3841;1963;1878;3679;1847;1832;3541;1747;1794;3412;1676;1736
" ";"60-64 let";3021;1641;1380;3107;1698;1409;3229;1740;1489;3398;1810;1588;3555;1864;1691;3625;1912;1713;3709;1945;1764;3729;1952;1777
" ";"65-69 let";2412;1288;1124;2385;1231;1154;2456;1297;1159;2426;1312;1114;2471;1349;1122;2650;1459;1191;2739;1512;1227;2866;1560;1306
" ";"70-74 let";1869;1087;782;1938;1139;799;1984;1138;846;2075;1146;929;2102;1147;955;2018;1097;921;1997;1068;929;2086;1135;951
" ";"75-79 let";1186;705;481;1221;731;490;1244;749;495;1287;791;496;1342;823;519;1424;861;563;1471;894;577;1494;888;606
" ";"80-84 let";560;355;205;578;377;201;616;406;210;654;423;231;706;458;248;721;467;254;785;504;281;785;507;278
" ";"85-89 let";162;112;50;155;103;52;170;103;67;200;129;71;205;136;69;245;164;81;245;168;77;262;178;84
" ";"90-94 let";23;14;9;31;21;10;27;22;5;26;19;7;32;27;5;36;26;10;38;27;11;48;33;15
" ";"95-99 let";2;1;1;1;0;1;3;1;2;1;1;0;2;2;0;2;2;0;4;3;1;3;3;0
" ";"100 + let";1;1;0;2;2;0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0
"Savinjska"
" ";"Starost - SKUPAJ";101391;51182;50209;100563;50832;49731;99899;50552;49347;99521;50430;49091;96445;48811;47634;95726;48384;47342;95172;48187;46985;95580;48671;46909
" ";"15-19 let";19;3;16;20;3;17;15;1;14;15;3;12;12;2;10;16;1;15;9;0;9;11;2;9
" ";"20-24 let";438;120;318;426;125;301;400;103;297;424;114;310;409;97;312;381;91;290;335;81;254;378;102;276
" ";"25-29 let";2456;925;1531;2272;848;1424;2323;849;1474;2291;831;1460;2198;775;1423;2144;773;1371;2109;751;1358;2078;798;1280
" ";"30-34 let";5753;2502;3251;5570;2435;3135;5428;2417;3011;5259;2359;2900;4990;2223;2767;4784;2095;2689;4574;2011;2563;4787;2154;2633
" ";"35-39 let";8431;3782;4649;8012;3615;4397;7800;3540;4260;7578;3488;4090;7267;3369;3898;7092;3356;3736;7025;3332;3693;7037;3425;3612
" ";"40-44 let";11095;5160;5935;10410;4851;5559;9772;4593;5179;9298;4363;4935;8683;4093;4590;8541;3971;4570;8311;3879;4432;8414;4005;4409
" ";"45-49 let";13445;6510;6935;13049;6272;6777;12650;6038;6612;12179;5828;6351;11240;5330;5910;10620;5008;5612;10029;4785;5244;9606;4627;4979
" ";"50-54 let";14166;7100;7066;14005;6983;7022;13684;6782;6902;13477;6594;6883;12865;6314;6551;12624;6171;6453;12384;6017;6367;12072;5863;6209
" ";"55-59 let";13405;7152;6253;13688;7228;6460;13855;7240;6615;13801;7151;6650;13364;6763;6601;13132;6599;6533;12973;6519;6454;12767;6372;6395
" ";"60-64 let";10608;5660;4948;11097;5967;5130;11454;6155;5299;11964;6458;5506;11934;6455;5479;12129;6518;5611;12409;6565;5844;12615;6608;6007
" ";"65-69 let";8431;4562;3869;8433;4472;3961;8414;4511;3903;8351;4493;3858;8468;4613;3855;9269;5046;4223;9766;5339;4427;10088;5496;4592
" ";"70-74 let";6304;3597;2707;6361;3666;2695;6676;3817;2859;7146;4013;3133;7084;3929;3155;6816;3763;3053;6822;3718;3104;6880;3782;3098
" ";"75-79 let";4147;2422;1725;4342;2558;1784;4417;2600;1817;4481;2670;1811;4541;2710;1831;4637;2748;1889;4693;2817;1876;4975;2961;2014
" ";"80-84 let";2032;1255;777;2168;1345;823;2254;1414;840;2400;1499;901;2456;1529;927;2486;1544;942;2578;1613;965;2693;1698;995
" ";"85-89 let";568;370;198;605;393;212;644;412;232;715;465;250;758;484;274;884;576;308;970;633;337;991;649;342
" ";"90-94 let";81;54;27;93;62;31;104;73;31;129;92;37;161;111;50;157;112;45;164;110;54;170;115;55
" ";"95-99 let";11;7;4;12;9;3;9;7;2;12;9;3;15;14;1;12;10;2;17;13;4;15;11;4
" ";"100 + let";1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;2;2;0;4;4;0;3;3;0
"Zasavska"
" ";"Starost - SKUPAJ";18674;9396;9278;18339;9228;9111;18039;9081;8958;17713;8914;8799;23329;11747;11582;23063;11623;11440;22693;11444;11249;22500;11329;11171
" ";"15-19 let";11;2;9;6;1;5;6;0;6;11;0;11;9;2;7;4;0;4;2;0;2;2;1;1
" ";"20-24 let";141;39;102;143;37;106;132;40;92;115;31;84;130;35;95;119;38;81;115;36;79;110;32;78
" ";"25-29 let";544;218;326;537;220;317;503;192;311;503;197;306;662;255;407;640;250;390;596;229;367;576;224;352
" ";"30-34 let";1069;498;571;1011;467;544;972;460;512;911;441;470;1266;581;685;1231;547;684;1175;523;652;1174;503;671
" ";"35-39 let";1322;576;746;1262;558;704;1223;549;674;1200;540;660;1696;798;898;1634;787;847;1559;738;821;1547;760;787
" ";"40-44 let";1854;826;1028;1665;755;910;1561;717;844;1453;665;788;1862;851;1011;1848;844;1004;1821;848;973;1748;817;931
" ";"45-49 let";2469;1204;1265;2404;1168;1236;2245;1060;1185;2085;968;1117;2696;1234;1462;2440;1114;1326;2186;1006;1180;2109;986;1123
" ";"50-54 let";2745;1357;1388;2635;1288;1347;2587;1275;1312;2494;1205;1289;3136;1529;1607;3081;1507;1574;3008;1472;1536;2853;1357;1496
" ";"55-59 let";2499;1343;1156;2561;1323;1238;2548;1286;1262;2579;1299;1280;3405;1708;1697;3334;1657;1677;3216;1582;1634;3184;1574;1610
" ";"60-64 let";1965;1019;946;2035;1100;935;2097;1139;958;2181;1181;1000;2958;1625;1333;2976;1611;1365;3084;1616;1468;3086;1575;1511
" ";"65-69 let";1543;853;690;1525;819;706;1521;822;699;1472;801;671;1967;1048;919;2219;1192;1027;2318;1265;1053;2402;1325;1077
" ";"70-74 let";1091;615;476;1112;623;489;1229;683;546;1322;739;583;1711;971;740;1604;910;694;1606;900;706;1593;892;701
" ";"75-79 let";798;471;327;803;485;318;756;464;292;746;445;301;1004;598;406;1059;619;440;1089;644;445;1191;692;499
" ";"80-84 let";466;276;190;458;272;186;461;273;188;454;281;173;592;358;234;613;378;235;650;410;240;622;393;229
" ";"85-89 let";131;83;48;152;90;62;167;98;69;152;95;57;194;124;70;215;138;77;216;141;75;252;167;85
" ";"90-94 let";24;16;8;28;22;6;28;22;6;33;25;8;36;27;9;41;29;12;47;31;16;48;30;18
" ";"95-99 let";2;0;2;2;0;2;3;1;2;2;1;1;5;3;2;4;2;2;4;3;1;2;1;1
" ";"100 + let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1
"Posavska"
" ";"Starost - SKUPAJ";29073;14868;14205;28956;14844;14112;28809;14824;13985;28474;14654;13820;30573;15695;14878;30361;15584;14777;30018;15370;14648;29879;15308;14571
" ";"15-19 let";6;1;5;4;1;3;2;1;1;2;0;2;2;0;2;0;0;0;6;1;5;2;0;2
" ";"20-24 let";143;44;99;139;40;99;158;37;121;112;24;88;128;28;100;120;26;94;102;21;81;98;32;66
" ";"25-29 let";743;292;451;754;316;438;774;327;447;733;287;446;785;301;484;710;256;454;659;226;433;644;212;432
" ";"30-34 let";1763;789;974;1730;760;970;1648;754;894;1554;712;842;1543;706;837;1529;686;843;1524;689;835;1553;723;830
" ";"35-39 let";2574;1222;1352;2423;1129;1294;2355;1118;1237;2221;1057;1164;2332;1089;1243;2238;1078;1160;2176;1037;1139;2114;999;1115
" ";"40-44 let";3153;1526;1627;3033;1486;1547;2930;1439;1491;2853;1394;1459;2978;1442;1536;2862;1392;1470;2726;1284;1442;2647;1277;1370
" ";"45-49 let";3796;1808;1988;3674;1732;1942;3583;1715;1868;3452;1660;1792;3567;1748;1819;3386;1656;1730;3240;1603;1637;3110;1519;1591
" ";"50-54 let";3992;2015;1977;3928;2008;1920;3827;1945;1882;3750;1904;1846;4045;1979;2066;3989;1906;2083;3861;1834;2027;3740;1790;1950
" ";"55-59 let";3796;2001;1795;3857;1994;1863;3893;1985;1908;3893;1967;1926;4167;2158;2009;4159;2139;2020;4065;2081;1984;3966;2003;1963
" ";"60-64 let";3119;1682;1437;3241;1784;1457;3355;1846;1509;3462;1880;1582;3793;2023;1770;3858;2072;1786;3892;2062;1830;3945;2057;1888
" ";"65-69 let";2116;1173;943;2241;1238;1003;2295;1268;1027;2362;1318;1044;2746;1542;1204;2983;1650;1333;3132;1744;1388;3249;1816;1433
" ";"70-74 let";1771;1022;749;1766;1032;734;1767;1011;756;1795;1051;744;2003;1143;860;1937;1110;827;2003;1141;862;2080;1188;892
" ";"75-79 let";1269;735;534;1274;731;543;1291;770;521;1286;749;537;1383;829;554;1429;869;560;1416;880;536;1440;868;572
" ";"80-84 let";598;393;205;632;412;220;660;421;239;706;443;263;774;475;299;802;490;312;833;497;336;878;539;339
" ";"85-89 let";202;142;60;225;153;72;227;149;78;240;163;77;268;184;84;292;202;90;306;216;90;324;222;102
" ";"90-94 let";29;22;7;33;28;5;43;37;6;51;44;7;57;46;11;63;48;15;72;50;22;85;59;26
" ";"95-99 let";2;1;1;1;0;1;1;1;0;2;1;1;2;2;0;4;4;0;5;4;1;4;4;0
" ";"100 + let";1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jugovzhodna Slovenija"
" ";"Starost - SKUPAJ";58980;29837;29143;58822;29821;29001;58588;29780;28808;58325;29697;28628;57914;29505;28409;57396;29237;28159;56884;28940;27944;56868;28942;27926
" ";"15-19 let";6;0;6;8;1;7;5;0;5;5;1;4;3;0;3;7;0;7;4;2;2;3;1;2
" ";"20-24 let";271;55;216;277;79;198;282;72;210;235;54;181;234;55;179;220;53;167;206;38;168;224;55;169
" ";"25-29 let";1852;635;1217;1733;594;1139;1721;627;1094;1658;616;1042;1619;597;1022;1593;590;1003;1489;542;947;1415;496;919
" ";"30-34 let";4134;1833;2301;3992;1791;2201;3903;1750;2153;3717;1668;2049;3512;1557;1955;3310;1470;1840;3180;1372;1808;3249;1432;1817
" ";"35-39 let";5502;2512;2990;5401;2499;2902;5183;2409;2774;5111;2400;2711;4940;2318;2622;4814;2299;2515;4595;2214;2381;4619;2241;2378
" ";"40-44 let";6847;3322;3525;6471;3114;3357;6270;3029;3241;5954;2852;3102;5767;2779;2988;5626;2647;2979;5466;2606;2860;5342;2549;2793
" ";"45-49 let";8074;3891;4183;7940;3800;4140;7686;3696;3990;7432;3607;3825;7120;3463;3657;6669;3285;3384;6294;3049;3245;6114;2985;3129
" ";"50-54 let";8003;4083;3920;8084;4126;3958;7945;4051;3894;8007;4018;3989;7851;3892;3959;7731;3754;3977;7605;3656;3949;7405;3555;3850
" ";"55-59 let";7360;3904;3456;7495;3968;3527;7628;3963;3665;7651;3948;3703;7710;4000;3710;7628;3943;3685;7679;3960;3719;7570;3883;3687
" ";"60-64 let";5620;3031;2589;5904;3149;2755;6139;3314;2825;6434;3510;2924;6600;3561;3039;6840;3661;3179;6991;3747;3244;7100;3719;3381
" ";"65-69 let";3769;2080;1689;3825;2119;1706;3995;2208;1787;4190;2300;1890;4576;2496;2080;5021;2770;2251;5255;2876;2379;5503;3040;2463
" ";"70-74 let";3552;2055;1497;3528;2034;1494;3561;2029;1532;3453;1974;1479;3337;1916;1421;3176;1803;1373;3231;1829;1402;3344;1887;1457
" ";"75-79 let";2464;1456;1008;2542;1517;1025;2526;1538;988;2587;1562;1025;2660;1608;1052;2673;1612;1061;2679;1628;1051;2661;1589;1072
" ";"80-84 let";1194;781;413;1258;813;445;1321;840;481;1428;892;536;1477;922;555;1523;964;559;1606;1006;600;1640;1054;586
" ";"85-89 let";298;172;126;311;182;129;358;212;146;396;253;143;446;306;140;496;349;147;531;371;160;588;391;197
" ";"90-94 let";28;22;6;48;32;16;59;38;21;63;39;24;60;34;26;67;35;32;67;40;27;86;62;24
" ";"95-99 let";5;5;0;3;2;1;5;4;1;3;3;0;1;1;0;2;2;0;6;4;2;5;3;2
" ";"100 + let";1;0;1;2;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
"Osrednjeslovenska"
" ";"Starost - SKUPAJ";210034;105953;104081;209442;105662;103780;210623;106917;103706;210093;106862;103231;203604;103626;99978;202853;103254;99599;201817;102745;99072;202108;103053;99055
" ";"15-19 let";52;9;43;46;10;36;39;7;32;47;5;42;36;3;33;45;4;41;33;5;28;30;5;25
" ";"20-24 let";1426;407;1019;1394;388;1006;1432;401;1031;1354;344;1010;1252;299;953;1111;264;847;1053;251;802;1052;250;802
" ";"25-29 let";7052;2706;4346;6906;2638;4268;7075;2760;4315;6934;2733;4201;6537;2589;3948;6285;2416;3869;5922;2199;3723;5673;2135;3538
" ";"30-34 let";15517;6895;8622;15218;6844;8374;15162;6902;8260;14822;6725;8097;13811;6199;7612;13284;5946;7338;12725;5669;7056;12764;5761;7003
" ";"35-39 let";20158;9631;10527;20059;9458;10601;19824;9580;10244;19662;9601;10061;18973;9251;9722;18797;9132;9665;18358;8969;9389;18376;8976;9400
" ";"40-44 let";23552;11474;12078;22598;11057;11541;22130;10917;11213;21698;10728;10970;20798;10323;10475;20623;10270;10353;20704;10224;10480;20534;10266;10268
" ";"45-49 let";25721;12794;12927;25620;12747;12873;25459;12586;12873;24829;12340;12489;23556;11740;11816;22645;11278;11367;21786;10909;10877;21314;10691;10623
" ";"50-54 let";24941;12594;12347;24493;12298;12195;24656;12602;12054;24731;12575;12156;23960;12205;11755;24056;12205;11851;24065;12193;11872;23938;11975;11963
" ";"55-59 let";25001;12857;12144;24950;12890;12060;24812;12743;12069;24275;12484;11791;23164;11843;11321;22982;11807;11175;22652;11583;11069;22644;11715;10929
" ";"60-64 let";21257;10976;10281;21803;11222;10581;22320;11599;10721;22752;11886;10866;22423;11701;10722;22353;11614;10739;22462;11756;10706;22216;11497;10719
" ";"65-69 let";15363;8121;7242;15533;8137;7396;15961;8371;7590;16525;8621;7904;16946;8877;8069;18526;9698;8828;18969;9896;9073;19398;10133;9265
" ";"70-74 let";13699;7669;6030;13808;7675;6133;14078;7735;6343;14033;7659;6374;13391;7234;6157;12702;6846;5856;12919;6898;6021;13350;7140;6210
" ";"75-79 let";9397;5543;3854;9673;5667;4006;9826;5761;4065;10122;5919;4203;10174;5969;4205;10412;6053;4359;10636;6137;4499;10844;6146;4698
" ";"80-84 let";4931;3006;1925;5252;3280;1972;5572;3465;2107;5790;3575;2215;5864;3609;2255;6063;3785;2278;6342;3939;2403;6550;4074;2476
" ";"85-89 let";1622;1037;585;1694;1087;607;1852;1197;655;2053;1356;697;2218;1439;779;2418;1559;859;2573;1688;885;2751;1823;928
" ";"90-94 let";293;202;91;346;230;116;397;270;127;432;287;145;461;317;144;496;340;156;547;383;164;609;427;182
" ";"95-99 let";46;28;18;40;28;12;26;19;7;31;22;9;37;26;11;52;35;17;67;43;24;63;38;25
" ";"100 + let";6;4;2;9;6;3;2;2;0;3;2;1;3;2;1;3;2;1;4;3;1;2;1;1
"Gorenjska"
" ";"Starost - SKUPAJ";82351;41416;40935;82081;41354;40727;81874;41292;40582;81311;41060;40251;80731;40778;39953;80025;40363;39662;79308;39962;39346;79168;39960;39208
" ";"15-19 let";23;3;20;14;0;14;7;0;7;27;2;25;15;0;15;10;1;9;15;4;11;9;1;8
" ";"20-24 let";486;118;368;509;139;370;517;125;392;469;111;358;432;98;334;440;101;339;400;93;307;378;92;286
" ";"25-29 let";2621;983;1638;2585;984;1601;2572;970;1602;2489;938;1551;2371;882;1489;2277;843;1434;2223;805;1418;2176;793;1383
" ";"30-34 let";5583;2470;3113;5359;2404;2955;5266;2367;2899;5023;2236;2787;4850;2173;2677;4691;2098;2593;4505;2005;2500;4589;2030;2559
" ";"35-39 let";7450;3517;3933;7357;3491;3866;7020;3345;3675;6925;3303;3622;6788;3239;3549;6448;3050;3398;6214;2930;3284;6257;3006;3251
" ";"40-44 let";8975;4245;4730;8624;4062;4562;8394;4006;4388;8101;3884;4217;7858;3777;4081;7637;3681;3956;7480;3630;3850;7250;3515;3735
" ";"45-49 let";10075;4913;5162;9915;4842;5073;9735;4739;4996;9478;4624;4854;9164;4444;4720;8844;4254;4590;8455;4044;4411;8283;4034;4249
