"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Poroèeni";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
" ";"50-54 let";10154;5070;5084;10004;4930;5074;9992;4921;5071;9919;4908;5011;9882;4885;4997;9658;4744;4914;9504;4663;4841;9345;4565;4780
" ";"55-59 let";10024;5194;4830;10094;5249;4845;9913;5132;4781;9751;4962;4789;9636;4872;4764;9691;4888;4803;9513;4719;4794;9440;4659;4781
" ";"60-64 let";8471;4393;4078;8712;4510;4202;8934;4633;4301;9164;4806;4358;9261;4862;4399;9265;4853;4412;9363;4925;4438;9176;4802;4374
" ";"65-69 let";6427;3404;3023;6457;3426;3031;6646;3519;3127;6759;3591;3168;7046;3733;3313;7662;4041;3621;7903;4138;3765;8087;4224;3863
" ";"70-74 let";5634;3192;2442;5652;3184;2468;5748;3197;2551;5835;3197;2638;5773;3113;2660;5436;2947;2489;5537;3013;2524;5727;3110;2617
" ";"75-79 let";3751;2195;1556;3944;2283;1661;4052;2372;1680;4118;2424;1694;4267;2546;1721;4347;2563;1784;4361;2552;1809;4452;2587;1865
" ";"80-84 let";1970;1258;712;2105;1350;755;2226;1396;830;2311;1441;870;2354;1452;902;2458;1503;955;2589;1580;1009;2647;1642;1005
" ";"85-89 let";590;378;212;626;411;215;729;481;248;797;524;273;875;584;291;972;657;315;1052;717;335;1128;734;394
" ";"90-94 let";99;71;28;106;76;30;107;78;29;131;100;31;150;113;37;175;130;45;175;130;45;198;147;51
" ";"95-99 let";17;12;5;17;13;4;13;11;2;10;8;2;9;5;4;14;9;5;19;14;5;26;19;7
" ";"100 + let";1;0;1;1;0;1;3;0;3;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0
"Primorsko-notranjska"
" ";"Starost - SKUPAJ";22629;11413;11216;22563;11341;11222;22472;11316;11156;22357;11294;11063;22243;11277;10966;22015;11157;10858;21847;11041;10806;21751;10989;10762
" ";"15-19 let";7;1;6;11;2;9;4;1;3;5;2;3;7;1;6;7;0;7;7;0;7;1;0;1
" ";"20-24 let";167;38;129;163;37;126;139;29;110;125;24;101;110;23;87;97;13;84;108;22;86;95;19;76
" ";"25-29 let";769;274;495;727;241;486;737;250;487;692;241;451;648;232;416;569;197;372;539;178;361;539;178;361
" ";"30-34 let";1562;641;921;1535;641;894;1501;653;848;1422;633;789;1374;609;765;1355;584;771;1261;510;751;1262;542;720
" ";"35-39 let";2099;991;1108;2042;953;1089;1994;912;1082;1930;872;1058;1870;855;1015;1829;844;985;1803;835;968;1785;848;937
" ";"40-44 let";2463;1191;1272;2314;1107;1207;2263;1103;1160;2244;1096;1148;2170;1059;1111;2148;1045;1103;2088;1004;1084;2033;955;1078
" ";"45-49 let";2810;1370;1440;2772;1342;1430;2700;1284;1416;2631;1247;1384;2567;1221;1346;2425;1190;1235;2279;1110;1169;2218;1090;1128
" ";"50-54 let";2863;1469;1394;2870;1435;1435;2793;1410;1383;2772;1403;1369;2718;1357;1361;2680;1324;1356;2668;1318;1350;2636;1273;1363
" ";"55-59 let";2922;1528;1394;2912;1545;1367;2865;1490;1375;2781;1442;1339;2769;1446;1323;2723;1401;1322;2716;1373;1343;2637;1334;1303
" ";"60-64 let";2373;1261;1112;2491;1337;1154;2570;1377;1193;2672;1431;1241;2697;1422;1275;2705;1426;1279;2697;1449;1248;2647;1387;1260
" ";"65-69 let";1509;832;677;1478;778;700;1545;815;730;1656;874;782;1899;1023;876;2152;1166;986;2244;1233;1011;2336;1278;1058
" ";"70-74 let";1455;801;654;1541;865;676;1591;881;710;1586;875;711;1482;833;649;1297;723;574;1280;684;596;1338;711;627
" ";"75-79 let";991;583;408;1010;592;418;1002;602;400;1019;606;413;1046;617;429;1091;636;455;1186;703;483;1242;734;508
" ";"80-84 let";482;318;164;528;340;188;568;362;206;582;371;211;615;394;221;649;406;243;645;400;245;637;405;232
" ";"85-89 let";135;99;36;146;109;37;172;127;45;207;152;55;234;156;78;245;166;79;268;176;92;293;195;98
" ";"90-94 let";18;13;5;19;14;5;28;20;8;32;25;7;34;27;7;38;33;5;53;43;10;47;37;10
" ";"95-99 let";3;3;0;3;3;0;0;0;0;1;0;1;3;2;1;5;3;2;5;3;2;5;3;2
" ";"100 + let";1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Goriška"
" ";"Starost - SKUPAJ";52222;26628;25594;51777;26350;25427;51380;26106;25274;50778;25815;24963;50340;25570;24770;49967;25343;24624;49303;24958;24345;48986;24833;24153
" ";"15-19 let";19;3;16;11;0;11;16;3;13;11;2;9;10;2;8;4;0;4;7;0;7;8;1;7
" ";"20-24 let";284;82;202;276;79;197;303;78;225;244;65;179;214;48;166;218;45;173;189;37;152;202;46;156
" ";"25-29 let";1435;553;882;1342;501;841;1302;491;811;1301;475;826;1289;476;813;1296;472;824;1188;432;756;1160;436;724
" ";"30-34 let";3461;1532;1929;3202;1406;1796;3022;1306;1716;2826;1240;1586;2660;1176;1484;2544;1129;1415;2374;1024;1350;2357;1043;1314
" ";"35-39 let";4643;2171;2472;4549;2106;2443;4378;2032;2346;4228;1966;2262;4101;1904;2197;3934;1826;2108;3663;1701;1962;3497;1616;1881
" ";"40-44 let";5694;2736;2958;5441;2632;2809;5254;2532;2722;5022;2386;2636;4753;2243;2510;4636;2190;2446;4586;2142;2444;4477;2123;2354
" ";"45-49 let";6281;3156;3125;6148;3038;3110;6029;2938;3091;5861;2832;3029;5717;2783;2934;5484;2627;2857;5249;2535;2714;5123;2472;2651
" ";"50-54 let";6539;3294;3245;6407;3227;3180;6295;3168;3127;6227;3162;3065;6135;3088;3047;6028;3026;3002;5872;2882;2990;5766;2811;2955
" ";"55-59 let";6955;3628;3327;6859;3560;3299;6736;3488;3248;6447;3299;3148;6367;3245;3122;6185;3115;3070;6102;3090;3012;5954;2999;2955
" ";"60-64 let";5898;3140;2758;6187;3285;2902;6352;3365;2987;6580;3490;3090;6530;3409;3121;6444;3375;3069;6350;3306;3044;6207;3215;2992
" ";"65-69 let";3412;1808;1604;3447;1846;1601;3604;1924;1680;3945;2116;1829;4550;2443;2107;5301;2847;2454;5562;2969;2593;5754;3071;2683
" ";"70-74 let";3545;2035;1510;3717;2075;1642;3747;2094;1653;3622;2007;1615;3318;1833;1485;2910;1591;1319;2991;1659;1332;3163;1724;1439
" ";"75-79 let";2336;1343;993;2348;1362;986;2389;1393;996;2489;1465;1024;2616;1563;1053;2761;1666;1095;2918;1704;1214;2961;1743;1218
" ";"80-84 let";1238;792;446;1322;853;469;1400;894;506;1403;885;518;1449;894;555;1505;912;593;1482;916;566;1534;947;587
" ";"85-89 let";398;287;111;437;311;126;451;316;135;467;337;130;516;365;151;578;405;173;618;437;181;673;468;205
" ";"90-94 let";70;58;12;77;64;13;95;79;16;102;86;16;106;92;14;124;104;20;133;107;26;132;102;30
" ";"95-99 let";13;10;3;5;4;1;5;4;1;1;1;0;8;6;2;14;13;1;18;17;1;17;15;2
" ";"100 + let";1;0;1;2;1;1;2;1;1;2;1;1;1;0;1;1;0;1;1;0;1;1;1;0
"Obalno-kraška"
" ";"Starost - SKUPAJ";46685;23712;22973;46450;23556;22894;46357;23599;22758;46160;23494;22666;45793;23293;22500;45341;22968;22373;45071;22805;22266;45103;22903;22200
" ";"15-19 let";18;1;17;14;1;13;10;0;10;10;0;10;5;0;5;9;0;9;14;2;12;12;1;11
" ";"20-24 let";320;91;229;318;80;238;309;73;236;268;48;220;267;61;206;235;48;187;251;56;195;252;67;185
" ";"25-29 let";1289;497;792;1233;463;770;1265;484;781;1246;460;786;1182;421;761;1092;378;714;1048;354;694;1019;364;655
" ";"30-34 let";2840;1231;1609;2753;1194;1559;2695;1206;1489;2567;1152;1415;2412;1067;1345;2327;1005;1322;2251;952;1299;2262;990;1272
" ";"35-39 let";4072;2000;2072;3958;1921;2037;3810;1812;1998;3724;1775;1949;3563;1661;1902;3381;1561;1820;3328;1558;1770;3279;1542;1737
" ";"40-44 let";4636;2260;2376;4493;2182;2311;4403;2169;2234;4344;2127;2217;4306;2167;2139;4285;2128;2157;4086;1990;2096;4042;1977;2065
" ";"45-49 let";5507;2687;2820;5357;2626;2731;5267;2607;2660;5080;2532;2548;4882;2405;2477;4600;2272;2328;4480;2197;2283;4407;2170;2237
" ";"50-54 let";6111;3116;2995;5922;2973;2949;5712;2876;2836;5625;2815;2810;5446;2684;2762;5382;2618;2764;5238;2588;2650;5162;2561;2601
" ";"55-59 let";6344;3253;3091;6419;3297;3122;6299;3195;3104;6178;3170;3008;6004;3101;2903;5859;2996;2863;5719;2883;2836;5557;2786;2771
" ";"60-64 let";5407;2896;2511;5615;3012;2603;5878;3167;2711;5938;3123;2815;6058;3155;2903;5984;3106;2878;6019;3138;2881;5947;3058;2889
" ";"65-69 let";3167;1707;1460;3256;1740;1516;3460;1834;1626;3865;2092;1773;4281;2315;1966;4916;2665;2251;5125;2756;2369;5386;2905;2481
" ";"70-74 let";3219;1675;1544;3282;1720;1562;3300;1781;1519;3205;1754;1451;3067;1691;1376;2779;1521;1258;2882;1575;1307;3061;1659;1402
" ";"75-79 let";2151;1273;878;2192;1280;912;2241;1284;957;2278;1276;1002;2358;1304;1054;2469;1364;1105;2558;1412;1146;2591;1469;1122
" ";"80-84 let";1112;700;412;1133;727;406;1202;764;438;1290;795;495;1393;868;525;1394;871;523;1403;885;518;1406;866;540
" ";"85-89 let";406;272;134;424;286;138;411;279;132;438;296;142;458;313;145;503;343;160;538;361;177;566;371;195
" ";"90-94 let";72;46;26;74;50;24;91;64;27;101;76;25;99;70;29;112;81;31;118;88;30;143;109;34
" ";"95-99 let";10;6;4;3;2;1;2;2;0;1;1;0;9;7;2;12;9;3;10;7;3;9;6;3
" ";"100 + let";4;1;3;4;2;2;2;2;0;2;2;0;3;3;0;2;2;0;3;3;0;2;2;0

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/7808 "
"target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. "
"Podatki o spremembah posameznih statistiènih regij so dostopni tudi "
"na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) "
"povezavi."

"Stanje na 1.1."

"Podatke o prebivalstvu za stanje 1. 1. 2011 smo v Sloveniji "
"pripravili tudi v skladu z Uredbo (ES) št. 763/2008 Evropskega "
"parlamenta in Sveta z dne 9. julija 2008 o popisih prebivalstva in "
"stanovanj (Uradni list Evropske unije L 218/14, 13. avgust 2008)."

