"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Razvezani";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
" ";"75-79 let";431;109;322;457;125;332;472;149;323;499;168;331;503;186;317;547;197;350;563;207;356;603;221;382
" ";"80-84 let";315;61;254;332;69;263;335;72;263;345;79;266;350;80;270;345;80;265;373;95;278;376;106;270
" ";"85-89 let";125;18;107;140;20;120;169;23;146;182;26;156;189;26;163;207;32;175;210;35;175;223;40;183
" ";"90-94 let";25;2;23;29;3;26;29;3;26;30;3;27;47;5;42;57;8;49;68;5;63;78;8;70
" ";"95-99 let";7;1;6;6;1;5;4;1;3;4;0;4;4;0;4;4;0;4;6;0;6;7;0;7
" ";"100 + let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
"Primorsko-notranjska"
" ";"Starost - SKUPAJ";2327;1017;1310;2401;1048;1353;2420;1050;1370;2510;1087;1423;2535;1084;1451;2596;1115;1481;2665;1146;1519;2694;1151;1543
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";3;0;3;2;1;1;1;0;1;1;0;1;1;0;1;2;0;2;0;0;0;4;1;3
" ";"25-29 let";26;6;20;24;6;18;24;8;16;31;6;25;21;3;18;18;4;14;12;2;10;13;2;11
" ";"30-34 let";92;32;60;86;33;53;74;26;48;66;21;45;64;18;46;73;19;54;75;24;51;74;24;50
" ";"35-39 let";178;78;100;182;75;107;186;76;110;176;67;109;143;52;91;133;47;86;137;57;80;125;51;74
" ";"40-44 let";269;126;143;263;128;135;244;111;133;245;107;138;244;99;145;242;100;142;255;102;153;264;108;156
" ";"45-49 let";338;151;187;326;139;187;333;146;187;352;162;190;341;156;185;337;154;183;331;149;182;321;141;180
" ";"50-54 let";401;187;214;397;175;222;392;171;221;400;178;222;413;184;229;407;176;231;403;173;230;389;169;220
" ";"55-59 let";394;194;200;403;200;203;407;211;196;418;216;202;426;209;217;427;205;222;432;202;230;424;185;239
" ";"60-64 let";273;130;143;324;162;162;346;167;179;361;170;191;378;184;194;405;196;209;412;200;212;419;212;207
" ";"65-69 let";105;45;60;130;58;72;141;62;79;186;84;102;223;102;121;268;129;139;303;144;159;331;150;181
" ";"70-74 let";100;36;64;103;40;63;105;40;65;100;38;62;104;38;66;108;45;63;125;51;74;141;63;78
" ";"75-79 let";64;18;46;66;18;48;70;20;50;77;22;55;80;26;54;84;25;59;84;28;56;89;28;61
" ";"80-84 let";55;6;49;59;6;53;54;6;48;50;9;41;54;9;45;49;11;38;52;11;41;57;15;42
" ";"85-89 let";21;7;14;27;6;21;31;5;26;35;5;30;31;2;29;33;2;31;33;2;31;29;1;28
" ";"90-94 let";8;1;7;5;0;5;8;0;8;10;1;9;10;2;8;8;2;6;11;1;10;13;1;12
" ";"95-99 let";0;0;0;4;1;3;4;1;3;2;1;1;2;0;2;2;0;2;0;0;0;1;0;1
" ";"100 + let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Goriška"
" ";"Starost - SKUPAJ";5062;2219;2843;5191;2257;2934;5282;2303;2979;5415;2371;3044;5527;2429;3098;5618;2470;3148;5760;2537;3223;5841;2573;3268
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";7;2;5;10;3;7;8;3;5;8;2;6;10;2;8;7;0;7;6;1;5;5;2;3
" ";"25-29 let";50;20;30;47;17;30;52;17;35;44;16;28;38;18;20;39;17;22;53;22;31;33;14;19
" ";"30-34 let";175;48;127;151;41;110;147;48;99;142;48;94;130;46;84;128;50;78;109;39;70;109;42;67
" ";"35-39 let";365;137;228;383;147;236;363;137;226;336;134;202;315;110;205;289;99;190;274;94;180;264;89;175
" ";"40-44 let";633;288;345;577;246;331;542;229;313;529;210;319;517;220;297;505;202;303;550;223;327;525;217;308
" ";"45-49 let";732;336;396;800;375;425;795;367;428;806;379;427;796;360;436;790;355;435;727;322;405;695;299;396
" ";"50-54 let";826;385;441;799;367;432;813;377;436;836;372;464;846;392;454;839;394;445;905;431;474;908;438;470
" ";"55-59 let";855;420;435;875;414;461;871;403;468;886;420;466;912;430;482;898;423;475;872;412;460;883;412;471
" ";"60-64 let";597;300;297;653;322;331;736;368;368;765;386;379;820;402;418;874;424;450;903;432;471;910;417;493
" ";"65-69 let";266;112;154;311;147;164;342;164;178;423;201;222;480;235;245;577;286;291;630;306;324;713;353;360
" ";"70-74 let";221;86;135;243;93;150;259;97;162;268;100;168;253;103;150;244;102;142;285;128;157;321;150;171
" ";"75-79 let";177;59;118;182;61;121;183;66;117;190;73;117;193;69;124;200;71;129;205;71;134;220;76;144
" ";"80-84 let";94;16;78;98;17;81;110;20;90;113;23;90;140;36;104;132;37;95;147;43;104;150;48;102
" ";"85-89 let";50;7;43;47;4;43;41;4;37;48;3;45;54;3;51;67;7;60;73;11;62;81;14;67
" ";"90-94 let";13;2;11;13;2;11;17;1;16;19;3;16;18;2;16;23;2;21;17;1;16;19;1;18
" ";"95-99 let";1;1;0;2;1;1;3;2;1;2;1;1;5;1;4;6;1;5;4;1;3;4;0;4
" ";"100 + let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"Obalno-kraška"
" ";"Starost - SKUPAJ";7263;3125;4138;7378;3162;4216;7543;3224;4319;7660;3261;4399;7840;3332;4508;8059;3417;4642;8181;3485;4696;8256;3489;4767
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
" ";"20-24 let";10;3;7;7;3;4;13;3;10;10;1;9;7;1;6;9;2;7;8;3;5;4;3;1
" ";"25-29 let";56;19;37;57;16;41;45;14;31;45;18;27;53;11;42;59;18;41;56;17;39;55;18;37
" ";"30-34 let";232;79;153;217;78;139;210;71;139;186;64;122;168;64;104;172;68;104;166;60;106;176;60;116
" ";"35-39 let";491;201;290;448;183;265;465;177;288;451;166;285;450;158;292;454;158;296;436;169;267;396;160;236
" ";"40-44 let";741;314;427;723;297;426;716;308;408;705;299;406;713;302;411;716;306;410;705;295;410;686;253;433
" ";"45-49 let";1055;473;582;1000;447;553;995;446;549;986;424;562;977;429;548;922;390;532;904;395;509;894;413;481
" ";"50-54 let";1213;575;638;1214;557;657;1209;537;672;1190;536;654;1160;517;643;1215;545;670;1170;519;651;1176;523;653
" ";"55-59 let";1269;572;697;1323;601;722;1292;590;702;1294;604;690;1305;613;692;1288;609;679;1270;593;677;1255;574;681
" ";"60-64 let";865;427;438;964;467;497;1084;513;571;1140;521;619;1213;551;662;1268;550;718;1335;583;752;1300;571;729
" ";"65-69 let";461;189;272;481;209;272;519;239;280;602;282;320;720;335;385;859;413;446;956;451;505;1061;474;587
" ";"70-74 let";378;152;226;422;171;251;439;184;255;462;188;274;440;176;264;418;162;256;438;184;254;478;212;266
" ";"75-79 let";253;76;177;276;89;187;291;90;201;296;103;193;324;112;212;340;123;217;365;133;232;384;148;236
" ";"80-84 let";150;31;119;144;30;114;157;34;123;182;40;142;190;47;143;204;55;149;218;61;157;228;61;167
" ";"85-89 let";75;13;62;84;13;71;81;15;66;81;12;69;86;11;75;95;12;83;107;18;89;113;16;97
" ";"90-94 let";13;1;12;17;1;16;24;3;21;29;3;26;34;5;29;33;5;28;39;3;36;39;2;37
" ";"95-99 let";1;0;1;1;0;1;3;0;3;1;0;1;0;0;0;6;1;5;8;1;7;11;1;10
" ";"100 + let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/7808 "
"target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. "
"Podatki o spremembah posameznih statistiènih regij so dostopni tudi "
"na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) "
"povezavi."

"Stanje na 1.1."

"Podatke o prebivalstvu za stanje 1. 1. 2011 smo v Sloveniji "
"pripravili tudi v skladu z Uredbo (ES) št. 763/2008 Evropskega "
"parlamenta in Sveta z dne 9. julija 2008 o popisih prebivalstva in "
"stanovanj (Uradni list Evropske unije L 218/14, 13. avgust 2008)."

