"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Razvezani";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
" ";"85-89 let";74;11;63;63;8;55;72;9;63;63;7;56;69;10;59;73;8;65;79;10;69;79;11;68
" ";"90-94 let";18;0;18;26;2;24;27;2;25;35;2;33;29;1;28;25;2;23;27;2;25;27;2;25
" ";"95-99 let";3;0;3;2;0;2;2;0;2;1;0;1;1;0;1;4;0;4;4;0;4;7;0;7
" ";"100 + let";1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Podravska"
" ";"Starost - SKUPAJ";20066;8494;11572;20262;8580;11682;20394;8608;11786;20552;8666;11886;20775;8763;12012;20899;8842;12057;21057;8873;12184;21134;8899;12235
" ";"15-19 let";2;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";18;4;14;21;7;14;20;8;12;14;2;12;9;1;8;9;0;9;10;2;8;8;3;5
" ";"25-29 let";117;33;84;103;33;70;97;25;72;97;34;63;98;33;65;91;37;54;84;32;52;84;35;49
" ";"30-34 let";519;193;326;440;169;271;399;133;266;404;141;263;374;135;239;342;130;212;332;132;200;321;121;200
" ";"35-39 let";1160;463;697;1113;424;689;1065;427;638;973;375;598;891;341;550;842;321;521;773;273;500;737;271;466
" ";"40-44 let";1938;834;1104;1848;769;1079;1779;761;1018;1710;725;985;1707;719;988;1669;690;979;1589;656;933;1561;650;911
" ";"45-49 let";2700;1218;1482;2697;1258;1439;2656;1188;1468;2577;1112;1465;2527;1075;1452;2388;1037;1351;2257;960;1297;2155;935;1220
" ";"50-54 let";3190;1459;1731;3107;1409;1698;3062;1373;1689;3079;1369;1710;3030;1372;1658;3024;1361;1663;3056;1425;1631;2960;1331;1629
" ";"55-59 let";3241;1546;1695;3379;1593;1786;3416;1610;1806;3378;1606;1772;3364;1552;1812;3302;1503;1799;3222;1435;1787;3207;1437;1770
" ";"60-64 let";2488;1194;1294;2685;1272;1413;2850;1310;1540;3018;1402;1616;3137;1454;1683;3208;1483;1725;3360;1544;1816;3367;1538;1829
" ";"65-69 let";1756;744;1012;1832;784;1048;1856;829;1027;1895;835;1060;2044;927;1117;2370;1090;1280;2548;1141;1407;2695;1185;1510
